title,ratio
브룩스브라더스,73.9670216216216
미나패리카,0.39605742857142856
사투르니아,2.0135629729729727
디올옴므,15.882712432432438
이로,23.47015054054054
브룩스브라더스,0.866868918918919
리본,1.322235675675676
그레이,14.426148648648647
헤르메스,0.9634262162162162
아쉬,0.5670937837837837
멀버리,1.2322656756756758
랄프로렌,1.8758708108108106
파시나르,0.42686594594594596
쇼,0.33755405405405414
앳코너,0.8772364864864866
파코라반,0.3242297297297297
캐나다구스,2.9898832432432436
듀엘,2.2461456756756752
요지야마모토,0.4382429729729731
커밍스텝,0.7298537837837837
랭앤루,0.6466756756756755
디스퀘어드,0.9972267567567568
맥케이지,0.4181624324324324
헨리코튼,0.9529721621621621
페라가모,2.0880540540540538
트란시노,0.43089432432432434
필립플레인,0.9017278378378377
오휘,1.2175889189189188
타미힐피거여성,0.7786543243243245
엠씨엠,0.5149548648648649
로즈몽,2.185222972972973
조르쥬레쉬,0.31488891891891896
에르노,0.35677756756756757
미스터앤미세스퍼,0.5058664864864864
페이,2.6077859459459463
모니카비나더,0.6456129729729728
샤넬,12.243502162162162
발렉스트라,0.5811270270270271
이솝,0.9001883783783786
레이첼콕스,1.8582254054054055
비비안웨스트우드,2.3977610810810805
라코스테,12.010660270270272
레베카밍코프,1.1831297297297296
러브캣,2.4551197297297294
캠퍼,1.1679016216216218
리틀파머스,0.5716972972972972
툴레,0.5905600000000001
아메리칸투어리스터,1.8330635135135136
린,6.704305405405407
디올,2.994594324324324
오일릴리,0.5625689189189189
알렉산더왕,0.8790421621621622
샤틴,0.40417081081081074
키엘,2.487460270270271
시리즈,2.807462972972973
메르세데스벤츠,0.7968605405405407
자딕앤볼테르,0.7029521621621622
킨록,0.27702567567567565
까르띠에,4.518357837837838
사토리산,0.2719648648648649
달팡,0.7608872972972973
아이소이,2.814166756756757
오야니,1.5406386486486485
널디,6.689725199999999
케네스콜,0.27070891891891896
산타마리아노벨라,1.3679372972972974
브랜디드,0.2920262162162162
모스키노,0.5679167567567568
데이트,1.4059594594594593
프린세스,0.7891772972972972
토리버치,9.04019918918919
엘지프라엘,1.921442777777778
가네시,0.3852867567567568
그레이,7.481976756756757
에르메스,1.9031032432432433
지방시,4.468808378378379
스톤아일랜드,3.195838108108108
설화수,3.1013072972972973
세이코,2.2769243243243245
에이지투웨니스,1.7321505405405409
만다리나덕,2.2591151351351355
에트로,0.8708048648648649
코치,3.2148032432432427
에피그램,0.6198627027027026
올리브데올리브,1.4856372972972973
닥터마틴,6.834780810810811
뤼에르,0.28605142857142857
오딧세이,0.7808564864864865
탠디,1.2544108108108107
식스패드,0.6948451351351351
케이트스페이드,1.5030308108108108
프라다,7.395262972972971
질스튜어트,4.874918648648649
샌프란시스코마켓,0.73235
한국금거래소,10.455142432432435
그레이,4.682305675675675
워너원,23.97045322580645
이자벨마랑,0.434588918918919
브라운,0.4147810810810812
타미힐피거,2.793864594594594
바오바오,0.41024486486486483
팀버랜드,0.8686459459459459
립밤,0.6933989189189189
발렌시아가,2.6702170270270273
마에스트로,0.5287651351351353
커먼프로젝트,0.4208237837837838
보테가베네타,1.4077186486486486
슈퍼콤마비,0.4170543243243243
보스,0.29179270270270263
끌로에향수,0.3268383783783784
골든구스,4.534876756756757
나무하나,0.279707027027027
마크제이콥스,0.5291189189189188
베트멍,0.6440481081081083
오즈세컨,0.7155297297297297
톰보이,1.335397027027027
헤라,1.1167478378378377
인케이스,0.32001432432432436
태그호이어,1.0647172972972974
바이커스탈렛,0.32721999999999996
디디에두보,0.6146862162162161
베르사체,0.4922959459459459
스튜디오톰보이,0.5521332258064516
알바,2.5298891891891895
플랙진,1.227126756756757
뫼비우스,1.540135945945946
시슬리,0.5961891891891892
노이어,1.9767264864864869
베네통,0.578621891891892
헬렌카민스키,0.5750262162162162
차홍,0.7880632432432432
롱샴,0.4144616216216216
도로시,0.6381127027027027
막스마라,0.2727427027027027
달,0.9685745945945946
화이트,0.46891
듀퐁,0.26945513513513514
벤츠,5.042667297297298
바이레도,0.2878821621621622
에이프릴스킨,1.876857837837838
파라점퍼스,0.5411613513513513
후,0.30882297297297295
스위스밀리터리,0.2943051351351352
랑콤,0.6264264864864865
불가리향수,0.5788348648648648
구찌,8.033281351351354
플랫폼,0.6370483783783784
디젤,0.4948694594594594
티쏘,0.764202972972973
루즈앤라운지,0.41757729729729737
발렌시아,0.8517645945945946
써스데이아일랜드,1.142757027027027
폴스미스,0.41564702702702705
발망,0.3279151351351351
바네사브루노,0.3060708108108108
클라란스,0.26358540540540537
오클리,0.4774037837837839
겐조,0.6637072972972974
린나이,0.5005264864864866
랑방,0.4308002702702703
톰브라운,1.7795054054054056
로사케이,0.35492918918918925
골드바,0.6680675675675676
라프시몬스,0.28853324324324325
지니킴,0.4484305405405405
셀린느,0.7914762162162163
세인트제임스,1.4349629729729731
에고이스트,0.7435843243243244
겔랑,0.2648975675675676
레페토,0.5150489189189189
세컨플로어,0.37259594594594586
헤지스레이디스,0.4189889189189189
보브,0.3899275675675676
갤럭시기어,0.4566786486486487
샤오미,2.1388916216216214
브루노말리,0.2925805405405405
불가리,0.46457837837837845
프레드릭콘스탄트,0.5161656756756755
스텔라맥카트니,0.31213054054054057
사만사타바사,0.4243116216216216
데싱디바,2.331357837837838
골든듀,0.8327745945945946
랩시리즈,0.3731235135135135
리모와,0.3408732432432432
투미,0.44351351351351354
무스너클,1.121588108108108
버버리,2.752795135135135
해밀턴,0.37120081081081074
발렌티노,1.0893672972972972
슈콤마보니,2.168522162162162
본,0.3155689189189189
미소페,0.34788216216216217
프레쉬,0.2824064864864865
스타일,0.27835324324324323
모다아울렛,0.8426635135135135
시세이도,0.323422972972973
몽클레어,1.5497283783783782
빈폴레이디스,0.7034516216216217
잇미샤,0.6287635135135136
아크네,0.5057840540540541
빈폴,3.2920840540540537
순토,0.47520162162162166
꼼데가르송,2.205055405405406
쌤소나이트,0.4275840540540541
토즈,0.7704316216216217
돌체앤가바나,0.4539562162162162
지미추,0.30751837837837837
메트로시티,1.289716756756757
EQUIPMENT,0.31686486486486476
나이스클랍,0.3068472972972973
칼린,0.3164462162162162
페라리,1.8635018918918917
락포트,0.7754375675675677
몽블랑,1.6641424324324325
에스티로더,0.9535567567567571
조이그라이슨,0.4156156756756757
씽크네이처,0.3225373333333334
지고트,0.2679594594594594
덱케,0.3565308108108108
제시뉴욕,0.2938548648648648
빅토리아베컴,0.4037662162162162
발리,3.0108448648648647
폴로랄프로렌,0.8664702702702703
커스텀멜로우,1.325808648648649
훌라,0.3647808108108109
CP컴퍼니,0.433522972972973
입생로랑,2.76713
리리코스,0.49310540540540543
이세이미야케,0.3066572972972973
아페쎄,0.5335478378378378
제이에스티나,3.523021081081081
펜디,0.6736581081081081
모조에스핀,0.42168162162162165
끌로에,0.3586135135135135
갤럭시,1.2820972972972973
루미녹스,0.2842167567567567
오메가,0.6406335135135136
슈츠,3.4024859459459464
알렉산더맥퀸,1.0293240540540542
조르지오아르마니,0.834657837837838
바비브라운,1.1432124324324326
레니본,0.4322924324324324
마이클코어스,0.8086113513513513
지샥,0.9067043243243244
맥스클리닉,0.3500848648648649
미우미우,0.5183129729729731
캘빈클라인,0.47443351351351354
오프화이트,1.097607837837838
프레드페리,0.853357027027027
누디진,0.49793378378378383
릭오웬스,0.27677270270270277
비오템,0.4810167567567567
리스,1.0069208108108108
생로랑,1.1452921621621621
지컷,0.4472243243243243
데미안,0.6505218918918918
랜드로바,0.35851270270270263
내셔널지오그래픽,1.445888108108108
시티즌,0.35197270270270264
헤지스,1.677647027027027
메종키츠네,0.49436540540540536
로저비비에,0.47228945945945944
딘트,3.142015405405405
톰포드,0.38257891891891893
에코,0.41478702702702697
쿠론,1.861765675675676
금강제화,1.8483135135135136
리엔케이,0.2965662162162162
록시,0.3455964864864865
